name,address,website,lat,lng,drive_distance,drive_time
"Gene Langley Ford, Inc.","3500 Eastend Dr, Humboldt, TN 38343, USA",https://www.genelangleyford.com/,35.8367642,-88.89283600000002,435 km,4 hours 4 mins
Allen Samuels Hyundai,"1639 US-45 BYP, Jackson, TN 38305, USA",http://www.allensamuelshyundai.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,35.6498237,-88.8527345,415 km,3 hours 51 mins
Golden Circle Chevrolet Covington,"3299 Hwy 51 S, Covington, TN 38019, USA",https://www.goldencirclechevroletcovington.com/,35.5279605,-89.68752529999999,493 km,4 hours 46 mins
Landers Ford North,"965 US-51, Covington, TN 38019, USA",https://www.landersfordnorth.com/?utm_source=GBP&utm_medium=click&utm_campaign=google,35.5817682,-89.6427327,489 km,4 hours 42 mins
Express Dyersburg Chevrolet GMC,"125 US-51 BYP, Dyersburg, TN 38024, USA",https://www.expressdyersburg.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,36.0366573,-89.41243659999999,484 km,4 hours 32 mins
Victory Toyota Dyersburg,"920 US-51 Suite 2, Dyersburg, TN 38024, USA",https://www.victorytoyotadyersburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,36.0583186,-89.3978374,487 km,4 hours 35 mins
Nissan of Dyersburg,"2700 Parr Ave, Dyersburg, TN 38024, USA",https://www.nissanofdyersburg.com/,36.063207,-89.37915300000002,487 km,4 hours 33 mins
"HERMAN JENKINS MOTORS, INC. Chevrolet","2030 W Reelfoot Ave, Union City, TN 38261, USA",https://www.jenkinsmotorsunioncity.com/,36.4063356,-89.08296810000002,509 km,4 hours 42 mins
Taylor Ford,"2022 W Reelfoot Ave, Union City, TN 38261, USA",https://www.taylorford.net/?utm_source=gbp&utm_medium=organic,36.406811999999995,-89.082215,509 km,4 hours 42 mins
Victory Ford Dyersburg,"920 US-51, Dyersburg, TN 38024, USA",https://www.victoryforddyersburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,36.0582491,-89.3982675,487 km,4 hours 35 mins
Weakley Ford Nissan,"841 N Lindell St, Martin, TN 38237, USA",https://www.weakleyauto.com/,36.369261,-88.8496282,454 km,4 hours 24 mins
Victory Chrysler Dodge Jeep Ram of Dyersburg,"900 US-51, Dyersburg, TN 38024, USA",https://www.victorycdjrdyersburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,36.058137699999996,-89.3980878,487 km,4 hours 35 mins
Taylor Chevrolet GMC,"11989 TN-22 E, Martin, TN 38237, USA",https://www.taylorgm.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website-clicks,36.322567299999996,-88.8004074,447 km,4 hours 21 mins
Kenton Chevrolet,"201 S Poplar St, Kenton, TN 38233, USA",https://www.kentonchevy.net/,36.2021818,-89.011622,465 km,4 hours 36 mins
"Griffis Motors, Chrysler Dodge Jeep Ram","1012 Holland Ave, Philadelphia, MS 39350, USA",https://www.griffismotors.net/,32.7567172,-89.1036174,499 km,4 hours 54 mins
